Displacement	Force
2.4602	14581.4082
2.4644	14587.9756
2.4686	14593.2354
2.4728	14600.9883
2.4771	14607.3828
2.4813	14612.1172
2.4855	14619.2285
2.4897	14626.3936
2.4939	14632.3096
2.4982	14640.0781
2.5025	14647.1865
2.5067	14651.8184
2.5109	14658.5459
2.5151	14665.6895
2.5194	14671.4893
2.5236	14678.8291
2.5279	14686.3672
2.5321	14691.8125
2.5363	14698.0547
2.5406	14705.5156
2.5448	14711.0381
2.549	14715.9365
2.5533	14722.7139
2.5575	14728.5312
2.5617	14734.3145
2.566	14742.4404
2.5702	14749.333
2.5744	14754.8926
2.5787	14761.7305
2.5829	14767.6318
2.5871	14772.0859
2.5913	14779.3975
2.5956	14786.4023
2.5998	14791.6016
2.604	14798.7891
2.6083	14806.3262
2.6125	14812.4092
2.6167	14819.5557
2.621	14826.6465
2.6253	14830.8975
2.6295	14836.3311
2.6337	14844.1572
2.6379	14849.7686
2.6421	14855.4355
2.6464	14862.4844
2.6506	14868.3086
2.6549	14873.5205
2.6591	14881.3828
2.6634	14887.5449
2.6676	14892.2529
2.6718	14898.6953
2.676	14904.4521
2.6802	14910.1387
2.6844	14918.0645
2.6887	14925.6309
2.693	14930.6484
2.6972	14937.0273
2.7015	14943.8301
2.7057	14948.5332
2.7099	14954.8867
2.7141	14961.7373
2.7184	14966.6797
2.7226	14972.1875
2.7268	14979.3271
2.7311	14985.6523
2.7353	14992.0498
2.7396	14998.915
2.7438	15003.1494
2.748	15007.7861
2.7522	15015.123
2.7564	15021.6992
2.7606	15026.998
2.7649	15033.874
2.7691	15039.8857
2.7734	15044.9531
2.7776	15052.7109
2.7819	15059.501
2.7861	15063.7939
2.7903	15069.5508
2.7946	15075.3643
2.7988	15080.2676
2.803	15087.2041
2.8073	15095.0615
2.8115	15100.0889
2.8157	15105.7246
2.82	15112.0801
2.8242	15116.4033
2.8284	15121.7959
2.8327	15128.7979
2.8369	15134.2168
2.8411	15138.8506
2.8453	15145.8848
2.8496	15152.5635
2.8538	15158.6113
2.8581	15165.9277
2.8623	15170.8916
2.8665	15174.8994
2.8708	15181.3789
2.875	15187.7529
2.8792	15192.0703
2.8834	15198.7139
2.8877	15205.5674
2.8919	15210.377
2.8961	15217.2041
2.9004	15223.7441
2.9047	15228.1094
2.9089	15233.2578
2.9131	15239.1553
2.9173	15243.5508
2.9215	15249.2422
2.9258	15256.7666
2.93	15262.2988
2.9342	15267.8867
2.9385	15274.3877
2.9427	15279.2666
2.9469	15284.207
2.9512	15291.2178
2.9554	15297.2344
2.9596	15301.6719
2.9639	15307.6475
2.9681	15313.3369
2.9723	15318.5059
2.9766	15325.3848
2.9809	15330.9873
2.9851	15334.7861
2.9893	15340.9443
2.9935	15347.2344
2.9977	15351.9746
3.002	15358.0391
3.0062	15364.1729
3.0105	15368.7393
3.0147	15374.0537
3.019	15380.8936
3.0232	15386.0283
3.0274	15390.7734
3.0316	15396.8418
3.0358	15401.2031
3.04	15405.9502
3.0443	15413.501
3.0486	15420.0518
3.0528	15424.5166
3.0571	15430.2949
3.0613	15435.2588
3.0655	15438.9707
3.0697	15445.6338
3.074	15452.1758
3.0782	15456.4111
3.0824	15462.2031
3.0866	15467.7275
3.0909	15472.4062
3.0951	15478.9434
3.0994	15485.4893
3.1036	15489.2441
3.1078	15493.4746
3.1121	15499.2773
3.1163	15504.248
3.1205	15509.7695
3.1248	15516.2295
3.129	15521.5703
3.1332	15526.168
3.1375	15532.7871
3.1417	15538.3076
3.1459	15542.0508
3.1501	15547.8438
3.1544	15552.9941
3.1586	15557.3701
3.1628	15564.0293
3.1671	15570.7852
3.1713	15575.1475
3.1756	15580.7803
3.1798	15585.8477
3.184	15589.3564
3.1883	15595.2168
3.1925	15601.4287
3.1967	15605.582
3.2009	15610.1494
3.2052	15616.1133
3.2094	15621.1729
3.2136	15626.6279
3.2179	15633.4854
3.2222	15637.4824
3.2263	15641.2373
3.2306	15647.084
3.2348	15652.5049
3.239	15657.4199
3.2433	15663.7461
3.2475	15669.2549
3.2517	15673.0264
3.256	15679.1465
3.2603	15684.6982
3.2645	15688.3203
3.2687	15693.5381
3.273	15698.3916
3.2771	15701.6699
3.2813	15707.4482
3.2856	15714.6953
3.2899	15719.0498
3.2941	15724.0527
3.2984	15729.2344
3.3026	15732.2139
3.3068	15736.8711
3.311	15743.8154
3.3153	15749.0176
3.3194	15753.2832
3.3237	15758.9727
3.3279	15763.8115
3.3321	15769.0381
3.3364	15775.8818
3.3407	15780.5049
3.3449	15783.5957
3.3491	15788.6592
3.3534	15794.0723
3.3576	15797.9346
3.3618	15803.4941
3.3661	15809.0449
3.3703	15812.8926
3.3745	15818.6738
3.3788	15824.7627
3.383	15828.8086
3.3872	15833.0664
3.3915	15838.1748
3.3956	15841.7432
3.3998	15846.7275
3.4041	15853.5645
3.4084	15858.876
3.4126	15863.7041
3.4169	15869.0234
3.4211	15872.9863
3.4253	15876.7139
3.4296	15882.7793
3.4338	15887.3457
3.438	15890.3447
3.4423	15895.585
3.4465	15900.5205
3.4507	15904.9512
3.455	15911.3359
3.4592	15916.5518
3.4634	15919.5049
3.4676	15923.6299
3.4719	15929.0273
3.4761	15933.5098
3.4803	15939.5615
3.4846	15945.2344
3.4888	15948.8682
3.493	15953.1904
3.4973	15959.083
3.5015	15963.5596
3.5058	15967.8232
3.51	15973.1875
3.5142	15976.4424
3.5184	15979.6748
3.5226	15986.2656
3.5269	15991.8145
3.5312	15995.9004
3.5354	16001.4766
3.5397	16005.3154
3.5438	16007.7041
3.5481	16013.6875
3.5523	16019.2725
3.5565	16022.5791
3.5608	16027.4551
3.565	16032.3633
3.5692	16036.3877
3.5735	16042.5254
3.5778	16048.1543
3.582	16051.2656
3.5862	16054.9688
3.5904	16060.1445
3.5947	16064.3828
3.5989	16068.8301
3.6031	16074.5811
3.6074	16078.708
3.6116	16082.2773
3.6158	16088.1865
3.6201	16092.6328
3.6243	16095.8496
3.6285	16100.873
3.6328	16104.7041
3.6369	16107.5488
3.6412	16113.249
3.6455	16119.4883
3.6497	16123.2227
3.654	16128.4043
3.6582	16132.7207
3.6624	16135.667
3.6666	16141.0225
3.6709	16146.3301
3.6751	16149.8867
3.6793	16154.0205
3.6835	16159.0449
3.6878	16162.8262
3.692	16167.415
3.6963	16173.2197
3.7005	16176.4541
3.7047	16179.583
3.7089	16184.7246
3.7132	16189.2969
3.7174	16193.417
3.7217	16198.79
3.7259	16203.3877
3.7301	16206.1416
3.7344	16211.4502
3.7386	16215.9072
3.7428	16219.0303
3.7471	16224.0566
3.7513	16228.2988
3.7555	16230.9404
3.7597	16235.9512
3.764	16242.2109
3.7682	16246.3545
3.7725	16250.7432
3.7767	16255.293
3.7809	16257.2266
3.7851	16261.0547
3.7894	16266.6855
3.7936	16270.7334
3.7978	16274.2285
3.8021	16279.3584
3.8063	16283.6621
3.8105	16287.7686
3.8148	16293.4414
3.8191	16297.0273
3.8233	16299.4414
3.8275	16303.5381
3.8317	16307.7539
3.8359	16311.5293
3.8402	16317.2979
3.8444	16322.2832
3.8486	16325.0137
3.8529	16329.9053
3.8572	16334.9473
3.8614	16338.0254
3.8656	16341.6963
3.8698	16346.1357
3.874	16348.9863
3.8782	16352.9541
3.8825	16358.916
3.8868	16362.9766
3.891	16366.9482
3.8953	16371.8652
3.8995	16374.7939
3.9037	16377.7803
3.908	16383.1328
3.9122	16387.0781
3.9164	16389.8906
3.9206	16394.7598
3.9248	16398.9922
3.9291	16402.7793
3.9333	16408.5078
3.9376	16412.8809
3.9418	16414.8125
3.946	16418.2832
3.9502	16422.7754
3.9544	16426.5195
3.9587	16431.4316
3.963	16436.4922
3.9672	16439.5645
3.9714	16443.4062
3.9757	16448.7285
3.98	16452.0039
3.9842	16454.4883
3.9884	16458.8848
3.9926	16461.5352
3.9968	16464.5996
4.001	16470.3887
4.0053	16474.7363
4.0095	16478.0918
4.0138	16482.998
4.018	16486.3105
4.0222	16488.4609
4.0264	16493.8184
4.0307	16498.6719
4.0349	16501.2773
4.0391	16505.8125
4.0434	16510.248
4.0476	16513.2441
4.0519	16518.0508
4.0561	16523.002
4.0604	16525.2871
4.0646	16528.4375
4.0688	16532.7051
4.073	16535.8574
4.0773	16539.3418
4.0815	16543.875
4.0857	16546.9473
4.0899	16550.4609
4.0942	16555.7559
4.0984	16559.6211
4.1026	16562.4883
4.1069	16567.2168
4.1111	16570.5898
4.1153	16573.0547
4.1195	16578.2363
4.1238	16583.5215
4.128	16586.5703
4.1323	16591.0371
4.1366	16594.6699
4.1408	16596.3086
4.145	16600.9297
4.1493	16605.459
4.1535	16608.3262
4.1577	16611.5605
4.1619	16615.4453
4.1662	16618.5938
4.1704	16622.5703
4.1747	16627.3789
4.1789	16629.9277
4.1831	16632.6992
4.1873	16637.248
4.1915	16641.2207
4.1957	16644.5547
4.2	16649.4746
4.2043	16653.582
4.2085	16655.8848
4.2127	16660.4141
4.217	16664.4219
4.2212	16666.623
4.2254	16670.4414
4.2297	16673.9941
4.2339	16676.3711
4.2381	16680.7812
4.2424	16686.0684
4.2466	16688.9199
4.2508	16692.7383
4.2551	16696.4277
4.2593	16698.5352
4.2635	16702.0176
4.2678	16706.6289
4.272	16709.5254
4.2762	16712.1875
4.2804	16717.1094
4.2847	16721.2207
4.2889	16724.7344
4.2932	16729.7656
4.2974	16732.6074
4.3016	16734.3809
4.3059	16738.1758
4.3101	16742.1738
4.3143	16744.7871
4.3185	16749.0098
4.3228	16753.1426
4.327	16755.5801
4.3313	16760.2617
4.3355	16764.4863
4.3397	16766.2734
4.344	16768.9824
4.3482	16772.8398
4.3524	16775.5996
4.3566	16779.2285
4.3609	16784.541
4.3651	16787.9453
4.3694	16790.791
4.3736	16794.6133
4.3779	16797.4824
4.3821	16799.9902
4.3863	16804.4355
4.3905	16807.9473
4.3947	16809.8613
4.399	16814.3008
4.4032	16818.4121
4.4074	16821.5312
4.4117	16825.7695
4.416	16829.0703
4.4202	16830.2891
4.4244	16834.1523
4.4286	16838.5254
4.4328	16840.7695
4.4371	16844.3242
4.4413	16848.6367
4.4456	16850.916
4.4498	16854.3828
4.4541	16859.082
4.4583	16861.7734
4.4625	16864.0488
4.4668	16867.7031
4.471	16870.1152
4.4751	16873.1953
4.4794	16878.1855
4.4837	16882.0566
4.4879	16884.627
4.4922	16888.3672
4.4964	16891.2188
4.5006	16893.002
4.5048	16897.5176
4.5091	16901.0508
4.5133	16902.4062
4.5175	16906.1016
4.5217	16910.2559
4.526	16913.1465
4.5302	16917.3867
4.5345	16921.459
4.5387	16923.3242
4.5429	16926.1855
4.5472	16930.0527
4.5514	16932.4688
4.5556	16935.6699
4.5599	16939.3125
4.5641	16942.1562
4.5683	16945.2578
4.5726	16950.3789
4.5768	16953.373
4.581	16955.0117
4.5853	16958.6133
4.5895	16961.1367
4.5937	16963.3652
4.5979	16968.3398
4.6022	16972.873
4.6064	16974.8887
4.6107	16978.3281
4.6149	16981.5039
4.6191	16983.0254
4.6234	16986.5918
4.6276	16990.6445
4.6318	16992.5312
4.636	16995.2402
4.6403	16999.0996
4.6445	17002.2168
4.6487	17005.8555
4.653	17010.3848
4.6573	17012.3574
4.6614	17014.0332
4.6657	17017.9102
4.6699	17020.8633
4.6741	17023.5703
4.6784	17028.0645
4.6826	17031.1211
4.6868	17032.5527
4.6911	17036.8145
4.6954	17040.1602
4.6996	17041.8242
4.7038	17045.3184
4.7081	17048.2949
4.7122	17050.0312
4.7164	17053.9277
4.7207	17058.4434
4.725	17060.6211
4.7292	17063.6934
4.7335	17066.8906
4.7377	17068.3125
4.7419	17071.3594
4.7461	17075.4531
4.7503	17078.1328
4.7545	17080.6895
4.7588	17084.5273
4.763	17087.3203
4.7672	17090.1484
4.7715	17094.9668
4.7758	17097.5898
4.78	17098.7246
4.7842	17101.6387
4.7885	17104.4375
4.7927	17106.6055
4.7969	17110.375
4.8012	17113.7148
4.8054	17115.5293
4.8096	17119.2305
4.8139	17123.1035
4.8181	17124.9297
4.8223	17127.7988
4.8266	17131.0215
4.8307	17132.5547
4.8349	17135.9766
4.8392	17141.2598
4.8435	17143.9453
4.8477	17146.6797
4.852	17150.2695
4.8562	17152.1621
4.8604	17153.8828
4.8647	17157.9941
4.8689	17160.5586
4.8731	17161.6074
4.8774	17165.2695
4.8816	17168.6699
4.8858	17170.6074
4.8901	17174.5352
4.8943	17177.2871
4.8985	17178.2051
4.9027	17181.5371
4.907	17185.3008
4.9112	17187.5938
4.9154	17191.3477
4.9197	17194.793
4.9239	17196.4434
4.9281	17199.6309
4.9324	17203.2832
4.9367	17205.0879
4.9409	17206.8457
4.9451	17210.3301
4.9493	17212.5527
4.9535	17215.0547
4.9578	17219.543
4.962	17222.5254
4.9663	17224.123
4.9705	17227.1777
4.9748	17229.5215
4.9789	17230.623
4.9832	17234.541
4.9874	17237.6543
4.9916	17238.9941
4.9958	17242.4766
5.0001	17245.8828
5.0043	17248.1211
5.0086	17251.834
5.0129	17255.3613
5.0171	17256.2715
5.0213	17258.6445
5.0255	17262.5664
5.0298	17264.3711
5.034	17266.5996
5.0382	17269.8633
5.0425	17272.3945
5.0467	17275.1152
5.051	17279.4434
5.0552	17281.6914
5.0594	17282.5156
5.0636	17285.4609
5.0678	17287.666
5.072	17289.9512
5.0763	17294.1836
5.0805	17297.6348
5.0848	17299.3184
5.089	17302.5996
5.0933	17305.8555
5.0975	17307.0254
5.1017	17309.9336
5.106	17312.8594
5.1102	17313.9609
5.1144	17316.3242
5.1186	17320.4961
5.1229	17323.1738
5.1271	17325.7422
5.1314	17329.3633
5.1356	17330.3809
5.1398	17331.5742
5.1441	17335.2266
5.1483	17337.5703
5.1525	17339.6406
5.1567	17343.0488
5.161	17345.7031
5.1652	17347.502
5.1695	17351.7012
5.1737	17354.3633
5.1779	17355.4453
5.1822	17358.3398
5.1864	17360.7559
5.1906	17361.9297
5.1948	17365.6699
5.1991	17369.8594
5.2033	17371.3516
5.2076	17373.8027
5.2118	17376.9668
5.216	17378.3789
5.2203	17380.582
5.2245	17383.9023
5.2287	17385.9238
5.2329	17387.8535
5.2372	17391.3516
5.2414	17393.6719
5.2456	17395.7773
5.2499	17399.6641
5.2542	17401.3691
5.2584	17402.7305
5.2626	17405.9277
5.2668	17408.3906
5.271	17409.6504
5.2753	17412.8867
5.2795	17415.5488
5.2837	17416.7637
5.288	17420.793
5.2923	17424.3828
5.2965	17425.416
5.3007	17427.375
5.3049	17430.0879
5.3091	17431.6152
5.3133	17434.5078
5.3176	17438.6855
5.3219	17440.6855
5.3261	17442.8359
5.3304	17446.0352
5.3346	17446.9434
5.3388	17448.1602
5.343	17452.0781
5.3473	17454.4512
5.3515	17455.5918
5.3557	17458.9043
5.3599	17461.5312
5.3642	17463.6699
5.3684	17467.2793
5.3727	17469.6055
5.3769	17470.0273
5.3811	17472.373
5.3853	17475.4941
5.3895	17477.2148
5.3938	17480.1621
5.3981	17483.3926
5.4023	17484.4434
5.4065	17486.5254
5.4108	17489.9102
5.415	17491.4355
5.4192	17493.2168
5.4235	17496.4902
5.4277	17497.5586
5.4319	17499.3711
5.4361	17503.8066
5.4404	17506.3574
5.4446	17507.7012
5.4489	17510.7227
5.4531	17512.1895
5.4573	17512.4707
